Source,Target
38040479,37224069
38040479,37940151
32627723,31665929
32627723,30233436
32627723,34892995
34815383,30385232
34815383,30481200
34815383,30301579
34518939,33142109
34518939,34519830
38180612,38180577
38180612,38180028
38180612,38179329
38180612,38180388
38180612,38180035
35754849,35954511
35754849,35579363
35754849,36894270
35876192,36729582
35876192,32447263
35876192,30780667
35876192,31791000
13122390,35918209
13122390,33050231
37778129,37667019
37778129,37309443
32655208,32649958
38178133,38178134
38178133,38178126
36235102,33807890
36235102,36058745
36235102,34777842
36473107,34218675
36473107,35629371
36473107,36141532
33558991,37403585
33558991,35475485
36756548,37357863
33451474,31964383
35865622,31729486
35865622,32739896
35427175,33861617
35427175,36046937
36406091,35492781
36406091,33978116
36406091,36245659
36406091,36270278
36406091,36478328
33533962,34104686
33533962,31454454
38172968,38172159
38172968,38176352
32214274,33743735
36763296,34093837
36763296,36685061
36763296,36019794
36763296,35924110
30430224,32880111
30430224,35480698
30430224,36136244
38164858,38164642
38164858,38166122
32586283,34433699
32586283,34058894
32586283,32983135
35324165,32617048
35324165,34221370
37465132,37337908
37465132,36455843
35727196,36019242
36522365,30629574
36522365,36239768
38179329,38179103
38179329,38178875
38179329,38176352
38179329,38178165
38180577,38180028
38180577,38180612
38180577,38180388
38180577,38180035
38180577,38179329
35778389,36117553
33771715,31216866
30964810,33325247
30964810,34021831
30964810,33839228
30964810,34383267
35993960,33776231
35993960,30511889
35993960,30487933
32058776,31022933
32058776,34590200
32058776,30373625
32058776,32741902
32384445,32214274
32384445,33743735
36019242,35727196
36019242,31157727
36019242,34499531
38178727,38178100
30140987,30481583
30140987,31347183
30140987,36043495
31099031,34697798
31099031,31744098
31099031,32449871
31099031,32233892
31099031,31170821
30715302,35682905
30715302,33111420
32020186,32225058
32020186,35047634
32020186,32453657
37037323,35656973
37037323,35893942
33100185,35996951
33100185,33638574
33100185,35923498
33100185,34604253
32603781,30992900
32603781,32037805
38167959,38167748
38167959,38167275
38167959,38167637
35593464,36687711
35593464,36608844
35593464,34206190
35593464,30633749
35593464,35867154
34486294,30043978
34486294,34032656
34486294,33011319
34486294,34752833
31262545,31106807
31262545,31469662
31262545,31202650
34058894,32991834
34058894,32586283
32576456,36513654
32576456,35599916
34326061,35269470
34326061,35662743
32411379,35268526
32411379,34951951
30347966,34766820
30347966,35406563
38167275,38167171
37040093,36432074
37040093,36956569
37040093,37960333
34721795,35304104
34721795,34630891
34721795,35177349
34721795,35745816
30900161,30430224
30900161,34032260
35822123,32565130
35822123,33069901
35822123,31381697
35822123,35964533
38170543,38170319
38170543,38169998
38170543,38170208
34090205,31453986
34090205,34525738
34090205,36178712
37848731,31178543
37848731,37110504
37523289,37463138
37523289,35320509
37523289,34198753
36630927,30474989
36630927,33347627
36630927,35525644
32957932,31462494
32957932,32853501
36624463,36624523
36624463,36607956
36624463,36559520
36624463,36539261
36624463,34316934
36624463,34316411
35819214,30581799
35819214,34653731
35819214,35999020
35819214,33329584
36043495,36046937
36043495,30481583
36043495,30140987
33450159,32112986
33450159,34519830
33450159,35372756
34718134,36111851
34718134,31539260
35096602,35611805
35096602,30825447
31475457,33004680
31475457,32374671
31475457,31469662
36687711,34661524
36687711,35867154
36687711,35277962
36687711,36608844
36687711,33809374
31433568,31380376
31433568,32678741
31433568,32845661
31433568,37065460
35682905,30715302
35682905,33069933
35682905,33111420
35682905,36071583
31022933,32741902
31022933,34590200
31022933,32276469
31022933,35413166
31022933,32058776
36389218,36690494
36389218,37041794
31729486,35865622
31729486,32739896
31729486,35795410
30539705,31001290
30539705,33477703
33055505,34715436
33055505,35870061
33055505,32134681
33055505,30825770
33055505,30882178
34433699,34622847
34433699,33497065
34433699,32983135
34433699,35136058
36010408,33743051
36010408,34353844
36010408,36384691
36010408,32225058
30049884,33129752
31591842,34075415
31591842,34804086
38164642,38164109
32819462,32339052
32164523,35625090
32164523,30622980
32164523,33177143
34032260,35480698
34032260,30430224
34032260,31026649
34032260,32880111
37713587,37110504
37713587,37779885
37713587,37263229
30545376,30855298
30545376,30629980
30545376,31359088
30008041,33783668
30008041,30905304
30008041,31053379
32233892,31170821
32233892,31099031
30982147,33743735
30982147,32214274
30982147,32384445
30069677,34353844
30069677,35066447
30905304,32735597
30905304,31636114
30905304,34632019
30905304,31053379
32655874,33065679
32655874,33139032
33028703,33719968
33028703,34331247
37484069,37375593
37484069,37529794
33717148,30481200
33717148,32749928
34163353,36021497
32797028,32635644
32797028,32937879
34716900,35833521
34716900,34597470
38171758,38171728
38171758,38171182
38171758,38171139
36268672,35427175
31202650,31106807
31202650,31469662
31202650,31262545
34059265,35828056
30233436,32984717
30233436,34892995
30233436,31665929
35856515,35939555
35856515,31347183
36046937,30481583
36046937,36043495
36046937,30140987
35504962,34138409
