Source,Target
38147148,38104881
38140936,38104881
38111299,38104881
38106313,38104881
38116097,38104881
38128544,38104881
38167459,38104881
38173055,38104881
38178317,38104881
38122354,38104881
36215467,36173663
36277768,36173663
31815612,36173663
34936247,36173663
34444600,36458576
35647565,34814574
35953127,34814574
31916150,34214815
31754872,34214815
31541066,34214815
34383267,34214815
30768679,34214815
31109880,34214815
31916150,30768679
31754872,30768679
31109880,30768679
34214815,30768679
36121510,30768679
33661762,32997178
31225464,32997178
31030819,32997178
32266744,32997178
30607876,32997178
38156412,38156406
38156637,38156406
38156629,38156406
33129876,30005014
35613764,30005014
35974930,35278306
38161825,38160780
38160407,38160780
38162893,38160780
38167146,38160780
30820552,32999895
30215534,32999895
31928542,32999895
30387260,32999895
33566587,32999895
34998099,32999895
33334455,32999895
32952672,32999895
35744199,32999895
34656150,32999895
36084901,32999895
32037811,32999895
30836269,32999895
33296443,32999895
33942421,32999895
33634429,35188811
33858200,35188811
34473553,34766752
31199415,34766752
34698258,34766752
35089767,34766752
35199812,34766752
34450505,34766752
38128544,38140936
38147148,38140936
38167459,38140936
38173055,38140936
38178317,38140936
38106313,38140936
38122354,38140936
38104881,38140936
38111299,38140936
32125216,33269678
35701655,33269678
33917833,33269678
34323813,33269678
31198517,33269678
35984566,35941756
35784128,35941756
31374765,35941756
32673881,35941756
34779778,35941756
32965847,33356101
33081437,33356101
33072913,33356101
30872513,33356101
36110028,35783941
36604647,35783941
34183283,35783941
36354697,35783941
36996137,36687711
36608844,36687711
35867154,36687711
34661524,36687711
36723136,36687711
38159792,38159496
38159901,38159496
38159825,38159496
31204155,34791938
36559482,34791938
36649380,34791938
35374926,34791938
35765153,34791938
32418457,34791938
33819390,36090856
32798068,36090856
32001436,34299647
33087734,34299647
32494456,34299647
32045776,34299647
32001436,32494456
34299647,32494456
32045776,32494456
38159901,38159838
38158480,38159838
38160051,38159838
33819213,35675533
30399815,35675533
34472638,35675533
31156397,30051426
36533045,30051426
30029028,30051426
36405851,34300008
32969433,34300008
36084901,34300008
35010632,34300008
36316334,34300008
31901447,34300008
36239064,34300008
31418843,34300008
34052195,35894293
34180678,35894293
30691041,35894293
37708160,37428784
37429472,37428784
30908078,34809794
32617048,34809794
31232416,34809794
30062753,34809794
35799365,34809794
34214815,34017409
33042426,34017409
33594174,34017409
33906809,34017409
36996137,34661524
36687711,34661524
31928542,30215534
32999895,30215534
30443491,30323260
36116546,30323260
35369376,30323260
30335612,30323260
33311895,30323260
34995962,30323260
32602186,31858434
35866243,31858434
32957932,31462494
32853501,31462494
36996137,35867154
36687711,35867154
35175726,35867154
36608844,35867154
37791351,37593221
36629370,37593221
33320636,32154815
31409258,31065055
34859971,30236760
35942317,30236760
36241283,36354697
36237113,36354697
31702010,36354697
36143682,36354697
32432113,36354697
35403990,36354697
36996137,37325780
37263229,37325780
37280116,37325780
37956320,37325780
35222999,33997035
33186042,33997035
31285382,33997035
38104881,38106313
38147148,38106313
38140936,38106313
38111299,38106313
38122354,38106313
38128544,38106313
38116097,38106313
38167459,38106313
38173055,38106313
38178317,38106313
38147148,38111299
38104881,38111299
38106313,38111299
38140936,38111299
38128544,38111299
38116097,38111299
38122354,38111299
38167459,38111299
38173055,38111299
38178317,38111299
33849115,31262486
32910740,31262486
35044891,31262486
35848514,31262486
33570937,31262486
33057203,31262486
31755910,31262486
33849115,33057203
31262486,33057203
35848514,33057203
37570864,37390209
35353491,33166357
33628161,33166357
33553923,33166357
36014746,36550444
31839038,36550444
35846068,36550444
36069827,36550444
32778648,36528058
36269091,36528058
33387282,35320509
30925102,35320509
37523289,35320509
37063122,36955204
34860290,36955204
34806299,35369376
30443491,35369376
30323260,30335612
33311895,30335612
34995962,30335612
32189283,32193184
36233147,32193184
36048206,32193184
31462494,32957932
32853501,32957932
30126838,32957932
37549450,37648145
37604241,37648145
34563274,35623808
34703029,36237113
36143682,36237113
36354697,36237113
37243891,36237113
36237113,36143682
37243891,36143682
36354697,36143682
34703029,36143682
34989042,36143682
34588699,31176438
33261033,31176438
35424115,31176438
36050368,31176438
32137703,31176438
32698250,31176438
31175176,31176438
31174470,31176438
31417865,31176438
32836478,31176438
31740539,31176438
31608307,31176438
37648145,37604241
37549450,37604241
36461618,32328289
30639879,32328289
33314335,32328289
35281589,32328289
35428062,32328289
33957437,35937472
33061497,35937472
36455843,35280730
34944317,35280730
33968797,35280730
36513395,35280730
34778797,35280730
32258342,35280730
31176438,31174470
30271614,31174470
36007241,31174470
30754564,31174470
31608307,31174470
31170706,31174470
33261033,31174470
32836478,31174470
36089705,31174470
32383535,31174470
31417865,31174470
38154413,38155859
38156412,38155859
36050714,35108592
35870061,35108592
36391077,35108592
35365148,35108592
36161729,35108592
33325249,35108592
34715436,35108592
36847044,33338712
34896075,35872086
35513419,36723365
34063086,36723365
37362854,36723365
35383107,36723365
32921060,33217538
36513030,36491601
36171207,36491601
35199660,36491601
32967687,36491601
32921060,30992900
30136901,30992900
36021858,30992900
34138409,30992900
36813296,30992900
30352087,30992900
32037805,30992900
30723438,30992900
36642089,37111867
35527773,37111867
35610503,36199287
36110028,36199287
36604647,36199287
33338712,36847044
38140936,38147148
38167459,38147148
38173055,38147148
