Target,Source,Weight
35939699,35527307,20
35267306,30908078,18
36010661,34314020,43
34778861,34207773,22
34055834,32378934,23
38104881,38147148,487
32393781,31355179,17
38161014,38159602,15
35720135,35651432,11
32353952,32385976,16
37701675,38162111,66
31466814,31404009,13
31226302,30760106,27
32140498,35976403,17
35412577,36531779,10
32904094,30488221,22
34434093,36873870,121
31094583,30458067,14
38159901,38160857,14
38159496,38159901,1542
34675667,36187939,10
34214815,30768679,56
30152197,31221368,12
32008610,33099943,15
35667557,36476075,30
31216866,30596104,11
35480698,32880111,106
38143017,38144348,10
35569752,37253037,41
32882756,32877297,62
34597761,35929199,13
33206284,34939280,79
32340051,37494055,16
32597127,35371711,38
33729156,32877297,28
32047124,35497371,10
35662743,36839248,15
32151187,36593900,12
37268559,36447441,43
30125635,30033098,48
36110028,30865163,18
35931968,35447728,23
35763506,31994148,13
34383110,31647313,11
35680648,34052717,62
30323012,36530025,13
38158880,38159002,13
35119407,35641731,22
35959627,31585575,15
36178595,31119278,63
35544768,34552502,43
36615807,37142703,57
36789861,36952338,27
36452808,36199563,15
36842358,37080468,12
34554786,36043286,28
35485522,37370157,78
34191799,32238752,16
30040655,31821709,49
30403541,36240793,87
37549029,37548795,184
38071632,38079174,17
36676688,35881570,15
31658952,32118125,27
38099253,38103443,48
30593361,35134932,15
30171958,35999225,10
37309443,37063341,83
37285767,37432252,48
35025371,37015387,153
37213875,35275455,39
33732532,34052717,30
33725238,34334191,49
31717513,31811352,16
37549287,37548795,28
35188811,33634429,19
36450387,37508330,18
35887691,36824949,19
36160751,31328935,11
32719748,37508330,24
37552113,37548795,24
34766752,36307631,28
35833324,36175233,32
33615307,33631567,21
37292985,36932044,37
35918209,33050231,59
31939260,33483596,10
34826255,37113460,18
34045766,35372965,22
34041928,32537324,30
31175227,34116150,16
34509472,37150737,21
33733123,34003576,17
30036519,36186922,14
36681090,36706708,13
30754879,36204907,10
36651140,34804743,14
37060106,37062512,11
34686794,35019976,35
34522954,35776956,10
32853522,32483383,10
31295932,30135204,13
34110689,32993536,32
32328197,32125885,34
34055834,30318183,32
35867154,37062512,15
36410691,37178115,104
30266682,33214297,21
34294732,31734867,12
33165216,33149690,16
38150001,38160179,44
37280775,36708991,14
34746725,31569554,11
32619761,36763261,36
35275102,35387219,36
31263531,31466814,18
36322313,36493269,34
35213819,34902761,70
33498740,32706366,13
30252488,36176638,85
35006494,35916633,12
35928326,35969623,12
30829107,37445817,11
35478726,35188811,26
33578681,31183453,16
35855868,35894157,11
36446499,35566106,13
32926539,33200477,20
35579363,36476075,29
36534603,36806007,15
31169821,36746513,204
36752924,36869863,16
33133339,35771092,28
31571880,35989949,45
36491601,36171207,27
37570864,37370157,36
35540159,31147623,15
31177581,32469703,68
37901813,37978422,15
36089668,36304981,159
32827065,32481652,60
33293340,31236722,16
33580853,35455014,17
31147725,36398856,55
34510980,34093837,31
35360215,34375742,38
31082487,32917348,13
31916150,37779839,100
35794292,35730159,19
37463709,37465966,43
38140936,38128544,253
33877409,31963515,26
33508376,30278878,25
34032778,32360166,16
30506491,30502033,28
35925818,35043863,12
37023341,31963515,12
34465026,37239349,49
36555644,37615249,31
35954511,35579363,32
