Source,Target
35527307,35939699
35527307,34894427
30068429,35527307
30068429,35503268
35054339,35527307
35054339,30624620
35054339,30146177
35503268,35527307
35503268,30196894
35503268,35884346
35505418,35054339
35505418,31374898
30624620,35054339
35618288,35054339
35618288,36857301
35618288,31252707
35061455,35505418
35061455,31374898
36857301,36855986
30908078,35267306
30908078,32617048
30908078,34809794
30908078,31384863
32617048,34809794
32617048,31232416
32617048,32143904
32617048,30062753
32617048,32280223
34809794,31232416
34809794,30062753
31384863,34225869
30078857,30908078
30078857,33159757
31232416,30062753
31232416,31440604
35324165,32617048
35324165,31129403
35324165,35639672
35324165,34221370
32143904,32617048
32143904,33719968
35707532,32617048
31109009,32617048
31109009,36213351
31109009,35841112
31109009,31495251
31109009,32909279
34375742,32617048
34375742,35360215
34375742,30239910
34375742,31101334
34375742,31159489
32280223,13090450
32280223,32235339
37679760,32617048
37679760,34809794
37679760,37676542
30226082,32617048
30226082,34113419
30226082,30620754
30226082,31453986
30226082,31113117
35710128,32617048
35710128,32143904
35710128,34221370
35710128,34331247
35710128,33028703
37169438,32617048
31065820,34809794
34531454,34809794
34225869,31245633
34225869,35795776
35888536,31232416
35888536,31550564
37202688,35324165
37202688,37743453
37202688,33028703
37202688,37280793
37202688,37166596
34221370,35324165
34221370,35639672
34221370,34282282
34221370,31037440
31119946,35324165
31119946,34594266
37743453,32143904
37743453,37202688
37743453,33028703
37743453,37613228
37743453,37601819
31397611,32143904
31397611,31361687
33000854,32143904
33719968,32143904
33719968,31155926
34165104,32143904
34165104,37743453
34165104,30964992
30821185,35707532
35589640,35707532
35589640,35607496
35589640,37746033
36213351,31109009
36213351,35841112
36213351,31495251
36213351,35877063
36213351,34731825
35841112,31109009
35841112,32909279
35066385,31109009
35360215,31101334
35360215,34056522
31101334,33023363
31159489,34499531
31159489,31157727
31159489,34352933
31159489,34486294
31159489,34430177
13090450,13091249
34113419,35871049
34113419,36083448
34113419,33807890
30620754,31453986
30620754,30511183
30620754,35867969
30620754,35767950
30620754,30552938
31453986,34090205
31453986,36178712
34331247,34221370
34331247,33028703
33028703,31397611
33028703,33719968
33028703,34331247
33028703,32767617
35893870,34531454
34510485,34531454
35795776,34225869
35795776,31446218
35795776,34777842
35795776,32172438
31550564,33070291
37166596,33070291
37613228,37743453
37613228,37280793
37613228,37601819
37613228,37613087
37601819,37743453
37601819,37280793
37785766,37743453
37785766,37613228
37785766,37601819
30964992,33719968
30964992,31091194
37746033,35589640
37769170,35589640
36696527,35589640
36696527,36690933
31446218,35841112
34056522,34537195
34499531,34486294
34499531,31697670
34499531,36019242
31157727,34486294
31157727,34430177
31157727,35727196
34486294,30043978
34486294,34032656
34486294,33011319
34486294,34752833
34430177,35340926
34430177,35177349
34430177,34406575
34430177,32733144
31267077,13090450
35763225,13090450
35871049,34113419
35871049,35962514
35871049,35799205
