Source,Target
52,80
52,81
52,31
52,1
52,4
4,80
4,81
4,31
4,1
80,81
80,31
80,1
80,4
1,80
1,81
1,31
1,4
358,90
358,24
358,82
24,90
24,82
272,90
272,24
272,82
4,52
4,8
4,145
145,4
145,52
145,1
145,8
1,52
1,8
1,145
84,4
84,52
84,1
84,8
29,1
29,137
29,153
29,154
153,29
153,1
153,154
32,29
32,1
32,153
32,154
293,29
293,1
293,153
136,29
136,1
136,137
136,153
136,154
26,7
26,4
26,63
26,62
4,7
4,63
4,62
7,4
7,63
7,62
8,4
8,1
8,5
8,52
1,5
207,47
207,163
163,207
163,47
4,207
4,47
4,163
18,207
18,47
18,163
7,207
7,47
7,163
379,1
379,8
393,1
74,1
74,8
66,7
66,110
90,84
24,84
82,84
4,65
4,34
53,31
53,8
53,5
68,8
68,5
1,11
11,31
11,8
11,5
31,11
31,8
31,5
29,136
29,11
29,8
154,136
154,1
154,8
154,29
1,136
1,29
84,228
7,228
7,84
228,84
36,9
250,7
84,7
10,228
10,7
10,84
90,192
90,82
192,82
192,371
82,192
24,192
24,371
142,192
142,82
36,26
36,7
36,19
36,83
7,26
7,19
7,83
47,4
47,106
47,9
6,4
6,9
6,47
6,322
4,106
4,9
4,322
1,106
1,9
1,47
1,322
136,8
136,11
136,66
1,66
11,29
11,1
11,66
8,29
8,11
8,66
29,66
29,47
29,4
6,1
6,8
4,6
1,6
29,6
154,6
154,4
4,29
472,1
472,4
1,42
1,73
1,112
42,4
42,1
42,73
42,112
4,42
4,73
4,112
73,42
73,4
73,1
85,1
85,8
192,1
142,1
27,163
27,7
27,4
27,8
7,8
83,163
83,7
83,4
83,8
163,7
163,4
163,8
27,11
27,6
8,6
8,7
4,11
7,11
7,6
55,52
55,19
55,4
112,52
112,4
46,52
46,19
46,55
46,4
7,52
7,55
1,395
1,142
1,24
1,170
395,142
395,24
395,170
4,395
4,142
4,24
4,170
142,395
142,24
543,20
543,4
366,73
366,8
366,20
366,4
20,73
20,366
20,8
20,4
1,366
1,20
73,366
73,8
73,20
1,59
1,399
1,400
59,399
59,400
59,4
59,1
10,4
10,1
399,59
399,400
399,4
399,1
42,59
42,399
42,400
84,26
84,71
4,26
4,71
1,26
1,71
73,47
73,489
1,489
5,306
5,4
5,1
5,53
53,306
53,4
53,1
20,306
20,5
20,1
20,53
1,306
1,53
54,5
54,4
54,1
54,53
4,12
7,9
7,12
9,6
9,12
9,7
9,8
117,6
117,9
117,12
117,7
117,8
1,10
10,66
26,83
26,74
83,74
83,26
83,75
8,83
8,74
8,26
8,75
219,4
219,8
219,26
66,219
66,4
66,8
66,83
66,26
26,219
26,8
65,219
65,4
65,8
65,83
65,26
163,26
163,299
26,47
26,163
26,299
4,299
299,47
299,4
299,163
299,26
47,163
47,26
47,299
140,143
140,357
140,100
140,591
140,26
357,143
357,100
357,591
357,26
143,357
143,100
143,591
143,26
7,143
7,357
7,100
7,591
26,143
26,357
26,100
26,591
90,42
24,42
24,44
1,331
73,331
44,42
162,42
6,7
269,7
47,5
47,53
47,1
8,53
80,52
81,52
81,4
81,80
81,1
31,52
31,4
31,80
31,1
37,95
37,96
37,97
37,1
38,95
38,96
38,97
38,1
39,95
39,96
39,97
39,1
7,95
7,96
7,97
7,1
47,8
47,105
1,105
8,105
5,8
6,100
6,117
6,52
4,100
4,117
9,100
9,117
9,52
6,128
4,40
4,128
7,128
36,52
36,6
36,4
36,128
8,42
90,24
1,82
1,90
1,192
84,42
10,71
10,8
10,42
66,6
26,6
1,27
8,27
204,4
204,1
204,29
29,27
19,60
19,4
19,7
19,46
60,301
60,4
60,7
60,46
317,4
317,7
4,301
4,60
4,46
6,60
6,46
8,379
1,379
1,74
8,47
11,47
11,4
66,47
66,1
66,29
78,42
78,4
78,1
78,79
306,42
306,78
306,4
306,1
306,79
4,78
4,79
1,78
1,79
135,44
135,4
401,44
401,4
1,44
1,46
20,269
20,44
20,46
44,4
1,154
136,4
4,154
52,8
52,29
52,154
84,66
84,9
84,152
84,132
132,7
132,9
132,152
6,66
6,152
6,132
8,9
8,152
8,132
4,66
4,152
4,132
14,7
14,11
289,7
289,11
4,57
4,249
1,57
1,249
42,57
42,249
57,1
57,42
57,4
57,249
1,84
133,7
133,36
7,46
7,133
7,36
52,46
52,133
52,7
52,36
150,6
150,100
150,36
150,7
100,6
100,150
100,36
100,7
151,6
151,150
151,100
151,36
151,7
6,150
6,36
4,451
29,84
29,52
136,84
136,52
82,142
82,312
90,142
90,312
24,142
24,281
24,312
192,142
192,312
65,6
65,7
219,6
219,7
219,65
6,26
6,65
6,219
13,6
13,7
13,26
13,219
26,65
14,1
14,42
14,4
14,73
7,34
7,2
7,226
7,35
34,7
34,226
34,35
13,4
34,6
34,4
52,6
4,682
1,682
42,8
42,682
57,73
57,8
57,682
110,8
110,7
110,4
47,52
47,46
19,52
19,47
34,52
34,47
160,7
6,101
11,7
4,101
8,101
26,101
237,4
237,52
237,47
341,4
341,7
341,52
341,47
7,110
52,110
52,47
7,18
7,361
6,19
26,19
65,19
219,19
10,96
10,225
84,96
84,10
84,225
1,96
1,225
225,96
225,10
140,6
357,6
357,140
143,6
143,140
7,140
26,140
31,29
163,13
36,13
36,163
667,7
667,4
667,163
632,163
6,13
6,163
26,278
4,278
7,278
160,20
7,20
7,66
7,269
307,20
307,6
307,444
307,445
7,307
7,444
7,445
6,307
6,20
6,444
6,445
100,307
100,20
100,444
99,52
99,47
7,276
26,276
26,52
298,52
298,47
47,140
47,7
47,143
4,140
4,143
105,47
105,7
105,4
140,7
357,7
143,7
108,4
195,91
195,4
195,11
195,7
195,31
11,91
461,11
12,6
12,7
12,4
12,52
12,133
133,6
133,4
133,52
4,133
8,133
24,8
24,6
24,4
85,4
6,31
42,31
42,6
42,9
108,1
167,164
167,1
3,1
1,70
4,70
70,1
70,4
70,47
8,70
47,70
240,7
4,36
4,150
4,69
226,7
26,36
26,150
6,69
99,4
99,7
298,4
298,7
325,4
325,7
163,6
163,27
36,47
36,27
667,47
667,6
6,27
9,132
9,4
9,152
12,132
12,152
12,8
7,132
7,152
140,13
140,20
140,52
357,13
143,13
143,20
143,52
7,13
26,13
26,20
84,545
1,545
545,84
1,137
137,1
137,29
137,4
15,24
21,24
66,31
66,11
500,4
500,9
117,105
117,4
4,500
4,105
7,500
7,105
10,31
10,5
1,54
5,54
5,10
5,66
5,31
53,54
53,10
53,66
11,10
66,84
66,9
9,84
152,84
152,6
152,8
152,9
132,6
132,8
37,6
38,6
7,160
29,31
19,1
1,36
128,12
128,7
128,9
128,4
202,12
202,7
202,9
202,4
100,12
100,9
100,4
4,19
47,19
47,6
214,4
214,7
