Source,Target
34202440,opqcogeeek8nVQ5YJz2
36306412,opqcogeeek8nVQ5YJz2
35055110,opqcogeeek8nVQ5YJz2
32999895,opqcogeeek8nVQ5YJz2
34318756,opqcogeeek8nVQ5YJz2
37161522,opqcogeeek8nVQ5YJz2
38025085,opqcogeeek8nVQ5YJz2
34656150,opqcogeeek8nVQ5YJz2
34790015,opqcogeeek8nVQ5YJz2
36249189,opqcogeeek8nVQ5YJz2
33206284,opqcogeeek8nVQ5YJz2
34939280,opqcogeeek8nVQ5YJz2
36122948,opqcogeeek8nVQ5YJz2
36123027,opqcogeeek8nVQ5YJz2
30841878,opqcogeeek8nVQ5YJz2
35822123,opqcogeeek8nVQ5YJz2
35964533,opqcogeeek8nVQ5YJz2
33069901,opqcogeeek8nVQ5YJz2
34672781,opqcogeeek8nVQ5YJz2
34318860,opqcogeeek8nVQ5YJz2
35259121,opqcogeeek8nVQ5YJz2
32683237,opqcogeeek8nVQ5YJz2
34265795,opqcogeeek8nVQ5YJz2
34712278,opqcogeeek8nVQ5YJz2
35856571,opqcogeeek8nVQ5YJz2
36078888,opqcogeeek8nVQ5YJz2
32655362,opqcogeeek8nVQ5YJz2
31629137,opqcogeeek8nVQ5YJz2
38161825,pdb5xa2u7Q4O8cN5Qg
38160780,pdb5xa2u7Q4O8cN5Qg
38159792,pdb5xa2u7Q4O8cN5Qg
38159496,pdb5xa2u7Q4O8cN5Qg
38159494,pdb5xa2u7Q4O8cN5Qg
38162317,pdb5xa2u7Q4O8cN5Qg
38148968,pdb5xa2u7Q4O8cN5Qg
38150001,pdb5xa2u7Q4O8cN5Qg
38145272,pdb5xa2u7Q4O8cN5Qg
38141565,pdb5xa2u7Q4O8cN5Qg
38165599,pdb5xa2u7Q4O8cN5Qg
38165582,pdb5xa2u7Q4O8cN5Qg
38165552,pdb5xa2u7Q4O8cN5Qg
38164841,pdb5xa2u7Q4O8cN5Qg
38164836,pdb5xa2u7Q4O8cN5Qg
38163954,pdb5xa2u7Q4O8cN5Qg
38163430,pdb5xa2u7Q4O8cN5Qg
38163087,pdb5xa2u7Q4O8cN5Qg
38164768,pdb5xa2u7Q4O8cN5Qg
38162750,pdb5xa2u7Q4O8cN5Qg
38162893,pdb5xa2u7Q4O8cN5Qg
38162782,pdb5xa2u7Q4O8cN5Qg
38164076,pdb5xa2u7Q4O8cN5Qg
38164044,pdb5xa2u7Q4O8cN5Qg
38166780,pdb5xa2u7Q4O8cN5Qg
38166122,pdb5xa2u7Q4O8cN5Qg
38162604,pdb5xa2u7Q4O8cN5Qg
38162111,pdb5xa2u7Q4O8cN5Qg
38171457,pdb5xa2u7Q4O8cN5Qg
38171362,pdb5xa2u7Q4O8cN5Qg
38171182,pdb5xa2u7Q4O8cN5Qg
38170975,pdb5xa2u7Q4O8cN5Qg
38170543,pdb5xa2u7Q4O8cN5Qg
38124574,pdb5xa2u7Q4O8cN5Qg
38123564,pdb5xa2u7Q4O8cN5Qg
38172968,pdb5xa2u7Q4O8cN5Qg
38172159,pdb5xa2u7Q4O8cN5Qg
38176774,pdb5xa2u7Q4O8cN5Qg
38176352,pdb5xa2u7Q4O8cN5Qg
38176816,pdb5xa2u7Q4O8cN5Qg
38176798,pdb5xa2u7Q4O8cN5Qg
38176447,pdb5xa2u7Q4O8cN5Qg
38177724,pdb5xa2u7Q4O8cN5Qg
38177555,pdb5xa2u7Q4O8cN5Qg
38179329,pdb5xa2u7Q4O8cN5Qg
